datetime_utc,conds,dewptm,fog,hail,heatindexm,hum,precipm,pressurem,rain,snow,tempm,thunder,tornado,vism,wdird,wdire,wgustm,windchillm,wspdm,year,month,day,hour,AQI
20150101-03:00,Partial Fog,10,1,0,,90,,1018,0,0,11,0,0,0.5,,,,,0,2015,01,01,03,0
20150101-06:00,Smoke,11,0,0,,54,,1019,0,0,18,0,0,1,,,,,0,2015,01,01,06,0
20150101-09:00,Smoke,11,0,0,,43,,1016,0,0,21,0,0,1,340,NNW,,,7.4,2015,01,01,09,0
20150101-12:00,Haze,12,0,0,,54,,1016,0,0,19,0,0,1,,,,,0,2015,01,01,12,0
20150101-15:00,Mist,11,0,0,,72,,1018,0,0,14,0,0,1,,,,,0,2015,01,01,15,0
20150101-18:00,Mist,11,0,0,,87,,1019,0,0,12,0,0,1,,,,,0,2015,01,01,18,0
20150101-21:00,Mist,12,0,0,,85,,1018,0,0,13,0,0,1,,,,,0,2015,01,01,21,0
20150102-00:00,Light Rain,13,0,0,,92,,1017,1,0,14,0,0,0.5,140,SE,,,7.4,2015,01,02,00,0
20150102-03:00,Light Rain,14,0,0,,96,,1019,1,0,15,0,0,0.5,160,SSE,,,7.4,2015,01,02,03,0
20150102-06:00,Light Drizzle,15,0,0,,98,,1020,1,0,16,0,0,1,,,,,0,2015,01,02,06,0
20150102-09:00,Light Rain,15,0,0,,100,,1017,1,0,15,0,0,1,50,NE,,,9.3,2015,01,02,09,0
20150102-12:00,Light Drizzle,15,0,0,,97,,1017,1,0,15,0,0,0.5,,,,,0,2015,01,02,12,0
20150102-15:00,Patches of Fog,14,1,0,,96,,1018,0,0,14,0,0,0.5,,,,,0,2015,01,02,15,0
20150102-18:00,Light Drizzle,14,0,0,,95,,1018,1,0,15,0,0,0.5,,,,,0,2015,01,02,18,0
20150102-21:00,Mist,14,0,0,,99,,1017,0,0,15,0,0,1,,,,,0,2015,01,02,21,0
20150103-00:00,Heavy Fog,14,1,0,,96,,1016,0,0,15,0,0,0.05,,,,,0,2015,01,03,00,0
20150103-03:00,Light Rain,14,0,0,,96,,1014,1,0,14,0,0,0.5,320,NW,,,7.4,2015,01,03,03,0
20150103-06:00,Mist,15,0,0,,88,,1019,0,0,16,0,0,1,,,,,0,2015,01,03,06,0
20150103-09:00,Mist,14,0,0,,79,,1017,0,0,17,0,0,1,,,,,0,2015,01,03,09,0
20150103-12:00,Patches of Fog,15,1,0,,88,,1017,0,0,16,0,0,0.5,,,,,0,2015,01,03,12,0
20150103-15:00,Partial Fog,14,1,0,,95,,1018,0,0,15,0,0,0.5,,,,,0,2015,01,03,15,0
20150103-18:00,Partial Fog,14,1,0,,94,,1019,0,0,14,0,0,0.5,,,,,0,2015,01,03,18,0
20150103-21:00,Heavy Fog,14,1,0,,100,,1019,0,0,14,0,0,0.2,,,,,0,2015,01,03,21,0
20150104-00:00,Heavy Fog,13,1,0,,100,,1019,0,0,13,0,0,0.2,,,,,0,2015,01,04,00,0
20150104-03:00,Heavy Fog,13,1,0,,86,,1020,0,0,14,0,0,0.2,290,WNW,,,7.4,2015,01,04,03,0
20150104-06:00,Mist,12,0,0,,74,,1021,0,0,15,0,0,1,290,WNW,,,14.8,2015,01,04,06,0
20150104-09:00,Smoke,10,0,0,,51,,1019,0,0,18,0,0,1,320,NW,,,16.7,2015,01,04,09,0
20150104-12:00,Smoke,10,0,0,,57,,1019,0,0,17,0,0,2,320,NW,,,5.6,2015,01,04,12,0
20150104-15:00,Mist,11,0,0,,84,,1020,0,0,14,0,0,1,290,WNW,,,9.3,2015,01,04,15,0
20150104-18:00,Mist,11,0,0,,90,,1020,0,0,12,0,0,1,270,West,,,13,2015,01,04,18,0
20150104-21:00,Mist,9,0,0,,88,,1019,0,0,10,0,0,1,290,WNW,,,9.3,2015,01,04,21,0
20150105-00:00,Patches of Fog,8,1,0,,92,,1017,0,0,9,0,0,0.5,270,West,,,14.8,2015,01,05,00,0
20150105-03:00,Mist,8,0,0,,87,,1018,0,0,9,0,0,1,270,West,,,18.5,2015,01,05,03,0
20150105-06:00,Haze,8,0,0,,46,,1017,0,0,16,0,0,2,290,WNW,,,22.2,2015,01,05,06,0
20150105-09:00,Haze,9,0,0,,36,,1014,0,0,21,0,0,2,290,WNW,,,22.2,2015,01,05,09,0
20150105-12:00,Haze,10,0,0,,52,,1014,0,0,18,0,0,2,320,NW,,,14.8,2015,01,05,12,0
20150105-15:00,Mist,12,0,0,,73,,1016,0,0,15,0,0,1,290,WNW,,,13,2015,01,05,15,0
20150105-18:00,Mist,10,0,0,,80,,1016,0,0,13,0,0,1,290,WNW,,,9.3,2015,01,05,18,0
20150105-21:00,Patches of Fog,10,1,0,,89,,1016,0,0,11,0,0,0.5,270,West,,,5.6,2015,01,05,21,0
20150106-00:00,Patches of Fog,9,1,0,,93,,1015,0,0,10,0,0,0.5,270,West,,,9.3,2015,01,06,00,0
20150106-03:00,Heavy Fog,10,1,0,,96,,1017,0,0,10,0,0,0.5,250,WSW,,,11.1,2015,01,06,03,0
20150106-06:00,Mist,10,0,0,,72,,1016,0,0,14,0,0,1,340,NNW,,,7.4,2015,01,06,06,0
20150106-09:00,Smoke,9,0,0,,50,,1014,0,0,17,0,0,1,320,NW,,,7.4,2015,01,06,09,0
20150106-12:00,Smoke,10,0,0,,63,,1015,0,0,15,0,0,1,,,,,0,2015,01,06,12,0
20150106-15:00,Mist,10,0,0,,84,,1016,0,0,12,0,0,1,,,,,0,2015,01,06,15,0
20150106-18:00,Patches of Fog,9,1,0,,88,,1016,0,0,10,0,0,0.5,,,,,0,2015,01,06,18,0
20150106-21:00,Partial Fog,8,1,0,,93,,1015,0,0,8,0,0,0.5,,,,,0,2015,01,06,21,0
20150107-00:00,Partial Fog,7,1,0,,96,,1015,0,0,7,0,0,0.5,,,,,0,2015,01,07,00,0
20150107-03:00,Heavy Fog,7,1,0,,94,,1017,0,0,8,0,0,0.5,,,,,0,2015,01,07,03,0
20150107-06:00,Heavy Fog,8,1,0,,82,,1018,0,0,10,0,0,0.5,320,NW,,,9.3,2015,01,07,06,0
20150107-09:00,Patches of Fog,8,1,0,,67,,1016,0,0,12,0,0,0.5,270,West,,,11.1,2015,01,07,09,0
20150107-12:00,Patches of Fog,9,1,0,,74,,1016,0,0,12,0,0,0.5,270,West,,,11.1,2015,01,07,12,0
20150107-15:00,Partial Fog,9,1,0,,84,,1017,0,0,11,0,0,0.5,,,,,0,2015,01,07,15,0
20150107-18:00,Partial Fog,9,1,0,,92,,1017,0,0,9,0,0,0.2,,,,,0,2015,01,07,18,0
20150107-21:00,Heavy Fog,8,1,0,,99,,1017,0,0,8,0,0,0.2,,,,,0,2015,01,07,21,0
20150108-00:00,Heavy Fog,8,1,0,,100,,1016,0,0,8,0,0,0.02,,,,,0,2015,01,08,00,0
20150108-03:00,Heavy Fog,9,1,0,,92,,1019,0,0,9,0,0,0.02,270,West,,,7.4,2015,01,08,03,0
20150108-06:00,Heavy Fog,10,1,0,,96,,1020,0,0,10,0,0,0.2,290,WNW,,,5.6,2015,01,08,06,0
20150108-09:00,Patches of Fog,10,1,0,,69,,1018,0,0,14,0,0,0.5,,,,,0,2015,01,08,09,0
20150108-12:00,Heavy Fog,9,1,0,,75,,1019,0,0,12,0,0,0.2,290,WNW,,,5.6,2015,01,08,12,0
20150108-15:00,Heavy Fog,9,1,0,,89,,1020,0,0,10,0,0,0.5,270,West,,,3.7,2015,01,08,15,0
20150108-18:00,Heavy Fog,8,1,0,,89,,1021,0,0,9,0,0,0.5,,,,,0,2015,01,08,18,0
20150108-21:00,Heavy Fog,8,1,0,,93,,1020,0,0,8,0,0,0.5,290,WNW,,,5.6,2015,01,08,21,0
20150109-00:00,Heavy Fog,6,1,0,,87,,1020,0,0,8,0,0,0.5,,,,,0,2015,01,09,00,0
20150109-03:00,Heavy Fog,6,1,0,,93,,1021,0,0,7,0,0,0.5,270,West,,,3.7,2015,01,09,03,0
20150109-06:00,Patches of Fog,7,1,0,,70,,1022,0,0,11,0,0,0.5,,,,,0,2015,01,09,06,0
20150109-09:00,Smoke,8,0,0,,53,,1019,0,0,16,0,0,0.5,,,,,0,2015,01,09,09,0
20150109-12:00,Partial Fog,10,1,0,,71,,1019,0,0,13,0,0,0.5,,,,,0,2015,01,09,12,0
20150109-15:00,Partial Fog,8,1,0,,91,,1020,0,0,10,0,0,0.5,,,,,0,2015,01,09,15,0
20150109-18:00,Partial Fog,9,1,0,,89,,1020,0,0,10,0,0,0.5,20,NNE,,,3.7,2015,01,09,18,0
20150109-21:00,Heavy Fog,8,1,0,,91,,1020,0,0,10,0,0,0.5,20,NNE,,,5.6,2015,01,09,21,0
20150110-00:00,Heavy Fog,7,1,0,,91,,1019,0,0,9,0,0,0.5,290,WNW,,,3.7,2015,01,10,00,0
20150110-03:00,Heavy Fog,7,1,0,,87,,1020,0,0,8,0,0,0.5,290,WNW,,,7.4,2015,01,10,03,0
20150110-06:00,Smoke,7,0,0,,58,,1020,0,0,13,0,0,1,270,West,,,9.3,2015,01,10,06,0
20150110-09:00,Smoke,8,0,0,,42,,1017,0,0,17,0,0,1,270,West,,,9.3,2015,01,10,09,0
20150110-12:00,Smoke,7,0,0,,45,,1017,0,0,16,0,0,1,250,WSW,,,5.6,2015,01,10,12,0
20150110-15:00,Mist,8,0,0,,82,,1020,0,0,10,0,0,1,,,,,0,2015,01,10,15,0
20150110-18:00,Patches of Fog,7,1,0,,84,,1019,0,0,9,0,0,0.5,,,,,0,2015,01,10,18,0
20150110-21:00,Partial Fog,7,1,0,,96,,1019,0,0,7,0,0,0.5,,,,,0,2015,01,10,21,0
20150111-00:00,Heavy Fog,9,1,0,,97,,1018,0,0,9,0,0,0.2,,,,,0,2015,01,11,00,0
20150111-03:00,Heavy Fog,8,1,0,,87,,1020,0,0,10,0,0,0.5,270,West,,,13,2015,01,11,03,0
20150111-06:00,Partial Fog,8,1,0,,67,,1020,0,0,12,0,0,0.5,290,WNW,,,7.4,2015,01,11,06,0
20150111-09:00,Smoke,8,0,0,,52,,1017,0,0,15,0,0,1,290,WNW,,,11.1,2015,01,11,09,0
20150111-12:00,Smoke,10,0,0,,66,,1018,0,0,14,0,0,1,20,NNE,,,7.4,2015,01,11,12,0
20150111-15:00,Mist,9,0,0,,89,,1020,0,0,10,0,0,0.5,,,,,0,2015,01,11,15,0
20150111-18:00,Partial Fog,8,1,0,,91,,1020,0,0,10,0,0,0.5,,,,,0,2015,01,11,18,0
20150111-21:00,Partial Fog,8,1,0,,97,,1020,0,0,8,0,0,0.5,,,,,0,2015,01,11,21,0
20150112-00:00,Heavy Fog,6,1,0,,96,,1020,0,0,7,0,0,0.2,,,,,0,2015,01,12,00,0
20150112-03:00,Patches of Fog,8,1,0,,87,,1021,0,0,10,0,0,0.5,,,,,0,2015,01,12,03,0
20150112-06:00,Patches of Fog,8,1,0,,70,,1022,0,0,12,0,0,0.5,,,,,0,2015,01,12,06,0
20150112-09:00,Smoke,8,0,0,,53,,1018,0,0,16,0,0,0.5,,,,,0,2015,01,12,09,0
20150112-12:00,Patches of Fog,10,1,0,,67,,1017,0,0,14,0,0,0.5,,,,,0,2015,01,12,12,0
20150112-15:00,Patches of Fog,9,1,0,,85,,1020,0,0,10,0,0,0.5,,,,,0,2015,01,12,15,0
20150112-18:00,Patches of Fog,7,1,0,,86,,1020,0,0,8,0,0,0.5,,,,,0,2015,01,12,18,0
20150112-21:00,Patches of Fog,7,1,0,,92,,1018,0,0,8,0,0,0.5,140,SE,,,7.4,2015,01,12,21,0
20150113-00:00,Partial Fog,7,1,0,,98,,1018,0,0,7,0,0,0.2,,,,,0,2015,01,13,00,0
20150113-03:00,Heavy Fog,7,1,0,,100,,1020,0,0,7,0,0,0.02,,,,,0,2015,01,13,03,0
20150113-06:00,Smoke,9,0,0,,62,,1019,0,0,14,0,0,1,140,SE,,,9.3,2015,01,13,06,0
20150113-09:00,Smoke,9,0,0,,45,,1016,0,0,18,0,0,1,140,SE,,,5.6,2015,01,13,09,0
20150113-12:00,Smoke,10,0,0,,60,,1015,0,0,16,0,0,1,90,East,,,7.4,2015,01,13,12,0
20150113-15:00,Partial Fog,10,1,0,,81,,1016,0,0,12,0,0,0.5,,,,,0,2015,01,13,15,0
20150113-18:00,Partial Fog,11,1,0,,91,,1017,0,0,12,0,0,0.2,90,East,,,7.4,2015,01,13,18,0
20150113-21:00,Partial Fog,10,1,0,,86,,1016,0,0,12,0,0,0.5,140,SE,,,9.3,2015,01,13,21,0
20150114-00:00,Light Rain,11,0,0,,87,,1014,1,0,12,0,0,0.5,110,ESE,,,9.3,2015,01,14,00,0
20150114-03:00,Partial Fog,10,1,0,,86,,1016,0,0,12,0,0,0.2,160,SSE,,,7.4,2015,01,14,03,0
20150114-06:00,Mist,10,0,0,,67,,1018,0,0,14,0,0,1,110,ESE,,,9.3,2015,01,14,06,0
20150114-09:00,Mist,10,0,0,,66,,1016,0,0,14,0,0,1,70,ENE,,,7.4,2015,01,14,09,0
20150114-12:00,Mist,11,0,0,,77,,1017,0,0,14,0,0,0.5,110,ESE,,,7.4,2015,01,14,12,0
20150114-15:00,Patches of Fog,9,1,0,,81,,1019,0,0,12,0,0,0.5,,,,,0,2015,01,14,15,0
20150114-18:00,Patches of Fog,9,1,0,,97,,1020,0,0,9,0,0,0.5,,,,,0,2015,01,14,18,0
20150114-21:00,Patches of Fog,9,1,0,,97,,1020,0,0,9,0,0,0.5,,,,,0,2015,01,14,21,0
20150115-00:00,Partial Fog,7,1,0,,98,,1019,0,0,7,0,0,0.5,,,,,0,2015,01,15,00,0
20150115-03:00,Partial Fog,7,1,0,,90,,1021,0,0,8,0,0,0.2,,,,,0,2015,01,15,03,0
20150115-06:00,Mist,10,0,0,,72,,1021,0,0,14,0,0,0.5,,,,,0,2015,01,15,06,0
20150115-09:00,Smoke,9,0,0,,45,,1019,0,0,18,0,0,0.5,290,WNW,,,7.4,2015,01,15,09,0
20150115-12:00,Smoke,11,0,0,,54,,1018,0,0,18,0,0,1,,,,,0,2015,01,15,12,0
20150115-15:00,Partial Fog,11,1,0,,86,,1019,0,0,13,0,0,0.5,,,,,0,2015,01,15,15,0
20150115-18:00,Partial Fog,10,1,0,,88,,1019,0,0,12,0,0,0.2,,,,,0,2015,01,15,18,0
20150115-21:00,Heavy Fog,9,1,0,,100,,1019,0,0,9,0,0,0.05,,,,,0,2015,01,15,21,0
20150116-00:00,Heavy Fog,9,1,0,,100,,1018,0,0,9,0,0,0.05,,,,,0,2015,01,16,00,0
20150116-03:00,Heavy Fog,9,1,0,,98,,1020,0,0,9,0,0,0.2,250,WSW,,,7.4,2015,01,16,03,0
20150116-06:00,Mist,10,0,0,,67,,1021,0,0,14,0,0,1,250,WSW,,,5.6,2015,01,16,06,0
20150116-09:00,Smoke,9,0,0,,38,,1018,0,0,20,0,0,1,270,West,,,13,2015,01,16,09,0
20150116-12:00,Smoke,11,0,0,,55,,1018,0,0,18,0,0,1,270,West,,,7.4,2015,01,16,12,0
20150116-15:00,Mist,11,0,0,,83,,1020,0,0,13,0,0,1,250,WSW,,,3.7,2015,01,16,15,0
20150116-18:00,Patches of Fog,10,1,0,,89,,1020,0,0,11,0,0,0.5,,,,,0,2015,01,16,18,0
20150116-21:00,Patches of Fog,9,1,0,,95,,1019,0,0,10,0,0,0.5,,,,,0,2015,01,16,21,0
20150117-00:00,Patches of Fog,9,1,0,,91,,1018,0,0,10,0,0,0.5,,,,,0,2015,01,17,00,0
20150117-03:00,Heavy Fog,10,1,0,,98,,1020,0,0,10,0,0,0.02,,,,,0,2015,01,17,03,0
20150117-06:00,Patches of Fog,11,1,0,,72,,1021,0,0,15,0,0,0.5,290,WNW,,,5.6,2015,01,17,06,0
20150117-09:00,Haze,11,0,0,,43,,1018,0,0,20,0,0,2,320,NW,,,9.3,2015,01,17,09,0
20150117-12:00,Haze,12,0,0,,53,,1018,0,0,20,0,0,2,,,,,0,2015,01,17,12,0
20150117-15:00,Mist,11,0,0,,79,,1019,0,0,13,0,0,1,,,,,0,2015,01,17,15,0
20150117-18:00,Patches of Fog,9,1,0,,85,,1020,0,0,11,0,0,1,,,,,0,2015,01,17,18,0
20150117-21:00,Patches of Fog,9,1,0,,92,,1020,0,0,9,0,0,1,,,,,0,2015,01,17,21,0
20150118-00:00,Patches of Fog,7,1,0,,94,,1019,0,0,8,0,0,1,,,,,0,2015,01,18,00,0
20150118-03:00,Partial Fog,7,1,0,,96,,1020,0,0,8,0,0,0.2,,,,,0,2015,01,18,03,0
20150118-06:00,Smoke,10,0,0,,59,,1020,0,0,15,0,0,1,270,West,,,9.3,2015,01,18,06,0
20150118-09:00,Haze,10,0,0,,36,,1017,0,0,21,0,0,2,270,West,,,7.4,2015,01,18,09,0
20150118-12:00,Haze,9,0,0,,41,,1017,0,0,19,0,0,2,320,NW,,,3.7,2015,01,18,12,0
20150118-15:00,Mist,9,0,0,,77,,1019,0,0,12,0,0,1,,,,,0,2015,01,18,15,0
20150118-18:00,Patches of Fog,9,1,0,,93,,1019,0,0,10,0,0,0.5,,,,,0,2015,01,18,18,0
20150118-21:00,Heavy Fog,11,1,0,,95,,1019,0,0,11,0,0,0.2,,,,,0,2015,01,18,21,0
20150119-00:00,Heavy Fog,10,1,0,,98,,1018,0,0,10,0,0,0.02,,,,,0,2015,01,19,00,0
20150119-03:00,Heavy Fog,10,1,0,,98,,1020,0,0,10,0,0,0.02,,,,,0,2015,01,19,03,0
20150119-06:00,Patches of Fog,11,1,0,,71,,1021,0,0,15,0,0,0.5,,,,,0,2015,01,19,06,0
20150119-09:00,Smoke,7,0,0,,30,,1017,0,0,20,0,0,2,270,West,,,14.8,2015,01,19,09,0
20150119-12:00,Smoke,12,0,0,,54,,1017,0,0,19,0,0,4,,,,,0,2015,01,19,12,0
20150119-15:00,Partial Fog,12,1,0,,83,,1019,0,0,14,0,0,0.5,,,,,0,2015,01,19,15,0
20150119-18:00,Partial Fog,11,1,0,,90,,1020,0,0,12,0,0,0.2,,,,,0,2015,01,19,18,0
20150119-21:00,Heavy Fog,10,1,0,,100,,1019,0,0,10,0,0,0.05,,,,,0,2015,01,19,21,0
20150120-00:00,Heavy Fog,11,1,0,,94,,1019,0,0,11,0,0,0.2,,,,,0,2015,01,20,00,0
20150120-03:00,Heavy Fog,10,1,0,,82,,1021,0,0,12,0,0,0.5,180,South,,,11.1,2015,01,20,03,0
20150120-06:00,Smoke,9,0,0,,65,,1022,0,0,14,0,0,1,180,South,,,3.7,2015,01,20,06,0
20150120-09:00,Smoke,11,0,0,,54,,1018,0,0,18,0,0,1,90,East,,,9.3,2015,01,20,09,0
20150120-12:00,Mist,11,0,0,,71,,1018,0,0,15,0,0,1,90,East,,,7.4,2015,01,20,12,0
20150120-15:00,Mist,10,0,0,,73,,1020,0,0,13,0,0,1,90,East,,,5.6,2015,01,20,15,0
20150120-18:00,Mist,9,0,0,,76,,1021,0,0,12,0,0,1,90,East,,,11.1,2015,01,20,18,0
20150120-21:00,Mist,9,0,0,,80,,1021,0,0,12,0,0,1,90,East,,,9.3,2015,01,20,21,0
20150121-00:00,Mist,9,0,0,,85,,1020,0,0,10,0,0,1,90,East,,,3.7,2015,01,21,00,0
20150121-03:00,Patches of Fog,9,1,0,,83,,1022,0,0,11,0,0,0.5,110,ESE,,,7.4,2015,01,21,03,0
20150121-06:00,Mist,10,0,0,,67,,1023,0,0,14,0,0,1,70,ENE,,,7.4,2015,01,21,06,0
20150121-09:00,Smoke,10,0,0,,52,,1020,0,0,17,0,0,1,90,East,,,7.4,2015,01,21,09,0
20150121-12:00,Smoke,10,0,0,,55,,1020,0,0,16,0,0,1,110,ESE,,,3.7,2015,01,21,12,0
20150121-15:00,Patches of Fog,10,1,0,,72,,1021,0,0,14,0,0,1,,,,,0,2015,01,21,15,0
20150121-18:00,Patches of Fog,11,1,0,,87,,1021,0,0,12,0,0,1,,,,,0,2015,01,21,18,0
20150121-21:00,Light Rain,10,0,0,,86,,1021,1,0,12,0,0,0.5,,,,,0,2015,01,21,21,0
20150122-00:00,Mist,11,0,0,,89,,1020,0,0,12,0,0,0.5,,,,,0,2015,01,22,00,0
20150122-03:00,Rain,11,0,0,,90,,1022,1,0,12,0,0,0.2,110,ESE,,,3.7,2015,01,22,03,0
20150122-06:00,Rain,12,0,0,,95,,1022,1,0,13,0,0,0.5,90,East,,,7.4,2015,01,22,06,0
20150122-09:00,Rain,13,0,0,,98,,1020,1,0,13,0,0,0.5,,,,,0,2015,01,22,09,0
20150122-12:00,Patches of Fog,13,1,0,,95,,1019,0,0,13,0,0,0.5,,,,,0,2015,01,22,12,0
20150122-15:00,Patches of Fog,12,1,0,,94,,1020,0,0,13,0,0,0.5,90,East,,,7.4,2015,01,22,15,0
20150122-18:00,Mist,12,0,0,,97,,1021,0,0,13,0,0,1,90,East,,,3.7,2015,01,22,18,0
20150122-21:00,Mist,12,0,0,,95,,1021,0,0,12,0,0,1,110,ESE,,,3.7,2015,01,22,21,0
20150123-00:00,Patches of Fog,12,1,0,,96,,1020,0,0,12,0,0,0.5,,,,,0,2015,01,23,00,0
20150123-03:00,Patches of Fog,12,1,0,,96,,1021,0,0,12,0,0,0.5,,,,,0,2015,01,23,03,0
20150123-06:00,Mist,13,0,0,,74,,1021,0,0,16,0,0,1,,,,,0,2015,01,23,06,0
20150123-09:00,Smoke,13,0,0,,62,,1020,0,0,19,0,0,1,,,,,0,2015,01,23,09,0
20150123-12:00,Mist,14,0,0,,72,,1018,0,0,17,0,0,2,320,NW,,,9.3,2015,01,23,12,0
20150123-15:00,Mist,13,0,0,,87,,1020,0,0,15,0,0,1,,,,,0,2015,01,23,15,0
20150123-18:00,Mist,12,0,0,,93,,1020,0,0,14,0,0,1,,,,,0,2015,01,23,18,0
20150123-21:00,Heavy Fog,12,1,0,,100,,1020,0,0,12,0,0,0.2,,,,,0,2015,01,23,21,0
20150124-00:00,Heavy Fog,11,1,0,,100,,1019,0,0,11,0,0,0.2,270,West,,,9.3,2015,01,24,00,0
20150124-03:00,Heavy Fog,11,1,0,,94,,1021,0,0,11,0,0,0.2,270,West,,,9.3,2015,01,24,03,0
20150124-06:00,Mist,11,0,0,,76,,1023,0,0,14,0,0,1,320,NW,,,11.1,2015,01,24,06,0
20150124-09:00,Smoke,12,0,0,,65,,1020,0,0,16,0,0,2,270,West,,,14.8,2015,01,24,09,0
20150124-12:00,Mist,11,0,0,,79,,1020,0,0,14,0,0,1,320,NW,,,13,2015,01,24,12,0
20150124-15:00,Mist,11,0,0,,87,,1021,0,0,12,0,0,1,320,NW,,,11.1,2015,01,24,15,0
20150124-18:00,Mist,10,0,0,,92,,1021,0,0,10,0,0,1,,,,,0,2015,01,24,18,0
20150124-21:00,Mist,10,0,0,,97,,1021,0,0,11,0,0,1,290,WNW,,,9.3,2015,01,24,21,0
20150125-00:00,Heavy Fog,10,1,0,,100,,1020,0,0,10,0,0,0.05,290,WNW,,,11.1,2015,01,25,00,0
20150125-03:00,Heavy Fog,8,1,0,,91,,1022,0,0,10,0,0,0.5,320,NW,,,14.8,2015,01,25,03,0
20150125-06:00,Smoke,9,0,0,,67,,1022,0,0,14,0,0,1,320,NW,,,3.7,2015,01,25,06,0
20150125-09:00,Smoke,9,0,0,,47,,1019,0,0,18,0,0,2,320,NW,,,3.7,2015,01,25,09,0
20150125-12:00,Smoke,9,0,0,,56,,1019,0,0,16,0,0,1,,,,,0,2015,01,25,12,0
20150125-15:00,Patches of Fog,11,1,0,,83,,1020,0,0,13,0,0,0.5,,,,,0,2015,01,25,15,0
20150125-18:00,Mist,11,0,0,,86,,1021,0,0,13,0,0,1,,,,,0,2015,01,25,18,0
20150125-21:00,Patches of Fog,11,1,0,,92,,1020,0,0,12,0,0,0.5,,,,,0,2015,01,25,21,0
20150126-00:00,Patches of Fog,12,1,0,,95,,1020,0,0,12,0,0,0.5,,,,,0,2015,01,26,00,0
20150126-03:00,Drizzle,12,0,0,,95,,1021,1,0,13,0,0,0.5,,,,,0,2015,01,26,03,0
20150126-06:00,Partial Fog,13,1,0,,95,,1022,0,0,13,0,0,0.5,,,,,0,2015,01,26,06,0
20150126-09:00,Mist,13,0,0,,82,,1019,0,0,16,0,0,1,,,,,0,2015,01,26,09,0
20150126-12:00,Mist,13,0,0,,75,,1018,0,0,16,0,0,1,,,,,0,2015,01,26,12,0
20150126-15:00,Patches of Fog,12,1,0,,80,,1020,0,0,15,0,0,0.5,340,NNW,,,7.4,2015,01,26,15,0
20150126-18:00,Patches of Fog,12,1,0,,92,,1020,0,0,13,0,0,0.5,,,,,0,2015,01,26,18,0
20150126-21:00,Patches of Fog,11,1,0,,91,,1019,0,0,12,0,0,0.5,,,,,0,2015,01,26,21,0
20150127-00:00,Patches of Fog,11,1,0,,91,,1019,0,0,11,0,0,0.5,,,,,0,2015,01,27,00,0
20150127-03:00,Partial Fog,10,1,0,,94,,1020,0,0,11,0,0,0.2,,,,,0,2015,01,27,03,0
20150127-06:00,Smoke,10,0,0,,60,,,0,0,16,0,0,1,290,WNW,,,14.8,2015,01,27,06,0
20150127-09:00,Smoke,9,0,0,,47,,,0,0,18,0,0,1,320,NW,,,5.6,2015,01,27,09,0
20150127-12:00,Smoke,10,0,0,,55,,1018,0,0,16,0,0,2,290,WNW,,,13,2015,01,27,12,0
20150127-15:00,Mist,10,0,0,,72,,1019,0,0,13,0,0,1,,,,,0,2015,01,27,15,0
20150127-18:00,Mist,9,0,0,,84,,1020,0,0,11,0,0,1,270,West,,,3.7,2015,01,27,18,0
20150127-21:00,Partial Fog,9,1,0,,91,,1020,0,0,10,0,0,0.5,290,WNW,,,5.6,2015,01,27,21,0
20150128-00:00,Heavy Fog,8,1,0,,91,,1018,0,0,9,0,0,0.2,320,NW,,,7.4,2015,01,28,00,0
20150128-03:00,Patches of Fog,7,1,0,,83,,1020,0,0,9,0,0,0.5,290,WNW,,,16.7,2015,01,28,03,0
20150128-06:00,Smoke,6,0,0,,51,,1020,0,0,13,0,0,1,290,WNW,,,14.8,2015,01,28,06,0
20150128-09:00,Haze,4,0,0,,30,,1016,0,0,18,0,0,2,320,NW,,,18.5,2015,01,28,09,0
20150128-12:00,Haze,4,0,0,,36,,1016,0,0,16,0,0,2,320,NW,,,7.4,2015,01,28,12,0
20150128-15:00,Patches of Fog,8,1,0,,78,,1018,0,0,11,0,0,1,,,,,0,2015,01,28,15,0
20150128-18:00,Heavy Fog,6,1,0,,100,,1020,0,0,6,0,0,0.05,,,,,0,2015,01,28,18,0
20150128-21:00,Partial Fog,7,1,0,,,,1018,0,0,,0,0,0.5,,,,,157.4,2015,01,28,21,0
20150129-00:00,Heavy Fog,7,1,0,,98,,1019,0,0,7,0,0,0.02,,,,,0,2015,01,29,00,0
20150129-03:00,Patches of Fog,6,1,0,,91,,1020,0,0,7,0,0,0.5,,,,,0,2015,01,29,03,0
20150129-06:00,Smoke,9,0,0,,56,,1019,0,0,15,0,0,0.5,,,,,0,2015,01,29,06,0
20150129-09:00,Haze,3,0,0,,24,,1019,0,0,18,0,0,2,270,West,,,18.5,2015,01,29,09,0
20150129-12:00,Haze,2,0,0,,27,,1018,0,0,17,0,0,2,290,WNW,,,13,2015,01,29,12,0
20150129-15:00,Mist,8,0,0,,68,,1020,0,0,12,0,0,2,,,,,0,2015,01,29,15,0
20150129-18:00,Mist,7,0,0,,86,,1022,0,0,8,0,0,1,,,,,0,2015,01,29,18,0
20150129-21:00,Light Fog,7,1,0,,90,,1021,0,0,8,0,0,0.5,,,,,0,2015,01,29,21,0
20150130-00:00,Light Fog,6,1,0,,87,,1021,0,0,8,0,0,0.5,270,West,,,7.4,2015,01,30,00,0
20150130-03:00,Mist,6,0,0,,80,,1022,0,0,8,0,0,1,250,WSW,,,7.4,2015,01,30,03,0
